StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q3_6_TEXT,Q4,Q14,Q5,Q15,Q7,Q16,Q16_3_TEXT,Q17,Q53,Q9,Q11,Q12,Q20,Q18,Q13,Q13_6_TEXT,Q19,Q22,Q23,Q23_2_TEXT,Q24,Q48,Q29,Q30,Q31,Q27,Q27_2_TEXT,Q54,Q55,Q32,Q34,Q36,Q33,Q35,Q37,Q39,Q40,Q41,Q41_7_TEXT,Q44,Q42,Q45,Q46,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_8_TEXT,Q51,Q51_5_TEXT,Q52
2024-11-21 07:38:47,2024-11-21 07:48:18,IP Address,174.244.147.29,100,570,True,2024-11-21 07:48:19,R_1PYoNKdlgcOTGoK,,,,,40.6286,-73.939,anonymous,EN,26-30,Male,,American Indian or Alaska Native,,American Indian or Alaskan Native,No,Adelphi Univ,No,2018,Suffolk County,,Lynbrook,Yes,Lynbrook Elementary,3-5,"1-2		",1-5,"1st   	 ,2nd		,3rd   		,4th         	","Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Sometimes,"Often ",Sometimes,No,,Sometimes,1-2,Agree,Disagree,Disagree,Agree,Agree,Disagree,"One or more course(s),Workshops,Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Important,Neutral,Very Important,,,"Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 07:48:55,2024-11-21 07:51:52,IP Address,174.244.147.29,100,176,True,2024-11-21 07:51:52,R_6QKG4GklQSvpv8l,,,,,40.6286,-73.939,anonymous,EN,21-25,Female,,White,,White,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 07:52:25,2024-11-21 07:53:48,IP Address,174.244.147.29,100,82,True,2024-11-21 07:53:49,R_8Gc9nvFqPPFfKmd,,,,,40.6286,-73.939,anonymous,EN,26-30,Male,,White,,White,No,Scranton,No,2017,Suffolk County,,Valley Stream,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 07:53:51,2024-11-21 07:58:16,IP Address,174.244.147.29,100,264,True,2024-11-21 07:58:16,R_2wWzAPU1BdPBUPL,,,,,40.6286,-73.939,anonymous,EN,41-45,Male,,Native Hawaiian or Pacific Islander,,Native Hawaiian or Pacific Islander,No,Ithaca,No,2008,Nassau County,,Port Washington,Yes,Port Washington Elementary,"11-15 		","11-15 		",6-10,"Pre-K 	   ,K      	,1st   	 ","Children with autism spectrum disorder ,Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Native Hawaiian or Pacific Islander,No,,No,,"Often ","Often ",Always,No,,Always,5 or more,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"One or more course(s),Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Online Modules",,Yes,Agree,Strongly Agree,"Agree ",Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 08:00:06,2024-11-21 08:03:48,IP Address,174.244.147.29,100,221,True,2024-11-21 08:03:49,R_10uru05RoGIJ03v,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Black or African American,,"Black or African American ",No,Molloy College,No,2010,Nassau County,,Valley Stream,Yes,Valley Stream Elementary,"6-10 ","3-5 		",6-10,"3rd   		,4th         	","Children with autism spectrum disorder ,Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,"Often ","Often ",Always,No,,Often,3-4,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Seminars,Webinars",,Yes,Agree,Strongly Agree,Strongly Agree,Very Important,Very Important,Important,Important,Very Important,Unimportant,Very Important,,,"Entire undergraduate course,Integrated into existing undergraduate courses",,
2024-11-21 08:03:57,2024-11-21 08:09:00,IP Address,174.244.147.29,100,303,True,2024-11-21 08:09:02,R_1XvWSuD6NlrAzfP,,,,,40.6286,-73.939,anonymous,EN,46-50,Male,,White,,"Hispanic, Latino, or Spanish origin",No,Hofstra University,No,2007,,,East Meadow,Yes,East Meadow Elementary,"16-20			","16-20			",11-15,"1st   	 ,2nd		,3rd   		,4th         	,5th            ","Children with autism spectrum disorder ,Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,6-10,"Hispanic, Latino, or Spanish origin","If yes, please indicate what language.",Spanish,"If yes, please indicate what language.",Fluent,Rarely,Rarely,Rarely,No,,Often,1-2,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,"Workshops,Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,Online Modules,,No,Neutral,Neutral,"Agree ",Very Important,Very Important,Important,Important,Important,Very Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 08:12:55,2024-11-21 08:16:43,IP Address,174.244.147.29,100,227,True,2024-11-21 08:16:43,R_5cv0icbUch8sV99,,,,,40.6286,-73.939,anonymous,EN,21-25,Male,,White,,White,No,SBU,No,2022,Suffolk County,,Rocky Point,Yes,Rocky Point Elementary,1-2,Less than one year,1-5,"1st   	 ,2nd		","Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Not Applicable (N/A),No,,No,,"Often ","Often ","Often ",No,,Always,1-2,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,"One or more course(s),Workshops,Lecture(s)",Yes,"Online Modules,Workshops,Webinars",,No,Agree,Agree,Strongly Agree,Very Important,Important,Important,Very Important,Important,Important,Very Important,,,"Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 08:20:01,2024-11-21 08:31:35,IP Address,174.244.147.29,100,694,True,2024-11-21 08:31:37,R_5OVaqvM2OuRnZ9g,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Asian,,Asian,No,SBU,No,2015,Suffolk County,,Westhampton Beach,Yes,Westhampton Beach Elementary,"6-10 ","3-5 		",11-15,"1st   	 ,2nd		,3rd   		,4th         	,5th            ","Children with autism spectrum disorder ,Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,Always,No,,Often,3-4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"One or more course(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Important,Important,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 08:36:14,2024-11-21 08:39:52,IP Address,174.244.147.29,100,218,True,2024-11-21 08:39:53,R_5CEgB5j6AGWLPvH,,,,,40.6286,-73.939,anonymous,EN,26-30,Female,,White,,White,No,NYU,No,2019,Suffolk County,,Riverhead,Yes,Pulaski Elementary,3-5,"3-5 		",1-5,"1st   	 ,2nd		,4th         	","Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,"Often ",No,,Often,3-4,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,"Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Very Important,Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 08:40:21,2024-11-21 08:47:36,IP Address,174.244.147.29,100,434,True,2024-11-21 08:47:37,R_3HLmZpoLXF9iucH,,,,,40.6286,-73.939,anonymous,EN,31-35,Female,,White,,White,No,LIU,No,2015,Suffolk County,,East Meadow,Yes,East Meadow Elementary,"6-10 ","3-5 		",1-5,"K      	,1st   	 ,2nd		","Children with autism spectrum disorder ,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,Asian,No,,No,,Always,Always,Always,No,,Often,3-4,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s)",Yes,Online Modules,,Yes,Disagree,Disagree,Disagree,Very Important,Important,Important,Important,Important,Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 09:07:20,2024-11-21 09:11:16,IP Address,174.244.147.29,100,235,True,2024-11-21 09:11:16,R_7uKRrnB8fvsI6Dr,,,,,40.6286,-73.939,anonymous,EN,31-35,Female,,Black or African American,,"Black or African American ",No,Hoftsra,No,2014,Suffolk County,,Miller Place,Yes,Miller Place Elementary,"6-10 ","6-10 		",6-10,"K      	,1st   	 ,2nd		","Children with autism spectrum disorder ,Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Native Hawaiian or Pacific Islander,No,,No,,"Often ","Often ","Often ",No,,Sometimes,1-2,Agree,Agree,Disagree,Agree,Agree,Disagree,"Workshops,Lecture(s)",Yes,"Online Modules,Seminars",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Neutral,Neutral,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 09:11:24,2024-11-21 09:15:48,IP Address,174.244.147.29,100,263,True,2024-11-21 09:15:48,R_3hzcdK7g0Occa1b,,,,,40.6286,-73.939,anonymous,EN,26-30,Female,,Asian,,Asian,No,LIU,No,2018,Suffolk County,,Riverhead,Yes,Aquebogue,3-5,"3-5 		",1-5,"1st   	 ,5th            ","Children with hearing loss,Children who are learning English as an additional language",,1-5,Asian,No,,No,,"Often ","Often ","Often ",No,,Sometimes,1-2,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Lecture(s),Yes,"Online Modules,Workshops",,Yes,Agree,Neutral,Neutral,Very Important,Very Important,Neutral,Important,Important,Important,Very Important,,,"Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 09:21:24,2024-11-21 09:22:57,IP Address,174.244.147.29,100,93,True,2024-11-21 09:22:58,R_5mt3kjmS19PU1MZ,,,,,40.6286,-73.939,anonymous,EN,36-40,Male,,Asian,,Asian,No,NYU,No,2015,Suffolk County,,Rocky Point,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 09:23:06,2024-11-21 09:23:41,IP Address,174.244.147.29,100,35,True,2024-11-21 09:23:42,R_11YixnX17BTRGTw,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Asian,,Asian,No,NYU,No,2016,Suffolk County,,East Meadow,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 09:23:49,2024-11-21 09:27:20,IP Address,174.244.147.29,100,211,True,2024-11-21 09:27:22,R_1hsifRBQqfdBjEB,,,,,40.6286,-73.939,anonymous,EN,36-40,Male,,Black or African American,,"Black or African American ",No,Adelphi,No,2014,Suffolk County,,Westhampton Beach,Yes,Westhampton Beach Elementary,"6-10 ","3-5 		",1-5,"1st   	 ,2nd		,3rd   		","Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,Asian,No,,No,,Always,Always,Sometimes,,,Sometimes,1-2,Agree,Agree,Disagree,Agree,Agree,Disagree,"Workshops,Guest Speaker(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Continuing Education Units (CEUs),Workshops,Webinars",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 09:27:27,2024-11-21 09:31:03,IP Address,174.244.147.29,100,215,True,2024-11-21 09:31:03,R_7VZC4JwfknrSQ0x,,,,,40.6286,-73.939,anonymous,EN,26-30,Non-binary,,White,,White,No,SBU,No,2017,Nassau County,,Lynbrook,Yes,Lynbrook Elementary,"6-10 ","6-10 		",1-5,"3rd   		,4th         	","Children with autism spectrum disorder ,Children with hearing loss,Children who are learning English as an additional language",,1-5,"Middle Eastern or North African ",No,,No,,"Often ","Often ","Often ","If yes, please provide the graduate course name",,Often,1-2,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Workshops,Guest Speaker(s),ASHA Practice Portal,Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Webinars",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 09:35:05,2024-11-21 09:39:19,IP Address,174.244.147.29,100,253,True,2024-11-21 09:39:20,R_5qoR0nHXAUfXTxv,,,,,40.6286,-73.939,anonymous,EN,36-40,Male,,American Indian or Alaska Native,,American Indian or Alaskan Native,No,SBU,No,2010,Suffolk County,,Shoreham Wading River,Yes,Shoreham Wading River,"11-15 		","11-15 		",1-5,"3rd   		,4th         	","Children with autism spectrum disorder ,Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Asian,No,,No,,"Often ","Often ","Often ","If yes, please provide the graduate course name",,Always,3-4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"One or more course(s),Workshops,Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Webinars",,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,,"Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 09:41:10,2024-11-21 09:45:38,IP Address,174.244.147.29,100,267,True,2024-11-21 09:45:39,R_3sS8NqanPzfRYSZ,,,,,40.6286,-73.939,anonymous,EN,26-30,Male,,Native Hawaiian or Pacific Islander,,Native Hawaiian or Pacific Islander,No,NYU,No,2018,Suffolk County,,Miller Place,Yes,Miller Place Elementary,3-5,"3-5 		",11-15,"1st   	 ","Children with autism spectrum disorder ,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech)",,6-10,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,"Often ","If yes, please provide the graduate course name",,Sometimes,None,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,"Workshops,Lecture(s)",Yes,Online Modules,,Yes,Neutral,Neutral,"Agree ",Very Important,Very Important,Neutral,Neutral,Neutral,Neutral,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 11:10:40,2024-11-21 11:19:27,IP Address,174.244.147.29,100,526,True,2024-11-21 11:19:29,R_65wE573x0B80vE5,,,,,40.6286,-73.939,anonymous,EN,36-40,Male,,White,,White,No,NYU,No,2014,Nassau County,,Hempstead,Yes,Hempstead Elementary,"6-10 ","6-10 		",1-5,"K      	,1st   	 ","Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,Asian,No,,No,,Always,"Often ",Always,"If yes, please provide the graduate course name",,Often,3-4,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,"One or more course(s),Workshops,Lecture(s)",Yes,"Online Modules,Workshops,Seminars",,Yes,Strongly Agree,Strongly Agree,"Agree ",Very Important,Very Important,Very Important,Very Important,Neutral,Neutral,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 11:31:39,2024-11-21 11:36:54,IP Address,174.244.147.29,100,314,True,2024-11-21 11:36:55,R_3ZWh0OVJzW9QqEv,,,,,40.6286,-73.939,anonymous,EN,41-45,Female,,Black or African American,,"Black or African American ",No,Adelphi,No,2010,Nassau County,,Hicksville,Yes,Woodland Elementary,"11-15 		","11-15 		",11-15,"K      	,1st   	 ,2nd		,3rd   		,4th         	","Children with autism spectrum disorder ,Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,"Often ","Often ",Always,"If yes, please provide the graduate course name",,Often,3-4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,"One or more course(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops,Webinars",,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Very Important,Very Important,Neutral,Very Important,Neutral,Neutral,Very Important,Very Important,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 11:45:33,2024-11-21 11:48:45,IP Address,174.244.147.29,100,192,True,2024-11-21 11:48:46,R_6gwIdEZXXGMKFI9,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Asian,,Asian,No,SBU,No,2014,Suffolk County,,Riverhead,Yes,Pulaski Street School,"6-10 ","6-10 		",11-15,"1st   	 ,2nd		,3rd   		","Children with autism spectrum disorder ,Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,Always,"If yes, please provide the graduate course name",,Often,3-4,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops,Seminars,Webinars",,Yes,Strongly Agree,Strongly Agree,"Agree ",Very Important,Important,Important,Important,Important,Important,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 11:49:54,2024-11-21 11:54:41,IP Address,174.244.147.29,100,286,True,2024-11-21 11:54:41,R_7gNoTDIk2CrVOnB,,,,,40.6286,-73.939,anonymous,EN,26-30,Male,,"Black or African American,Asian",,"Asian,Black or African American ",No,Adelphi,No,2017,Suffolk County,,Patchogue Medford,Yes,Medford Elementary,3-5,"3-5 		",1-5,"1st   	 ,2nd		","Children with hearing loss,Children who are learning English as an additional language",,1-5,Native Hawaiian or Pacific Islander,No,,No,,"Often ","Often ","Often ",No,,"Rarely ",None,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Lecture(s),No,Online Modules,,No,Disagree,Disagree,Neutral,Very Important,Very Important,Neutral,Very Important,Very Important,Very Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 14:21:35,2024-11-21 14:27:21,IP Address,129.49.252.177,100,346,True,2024-11-21 14:27:22,R_3ytOBEjibVjPRDj,,,,,40.9076,-73.122,anonymous,EN,36-40,Female,,White,,"Hispanic, Latino, or Spanish origin",No,Adelphi,No,2015,Suffolk County,,Riverhead,Yes,Pulaski Street School,"6-10 ","3-5 		",6-10,"Pre-K 	   ,K      	,1st   	 ","Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin","If yes, please indicate what language.",Spanish,"If yes, please indicate what language.",Intermediate,"Often ","Often ",Sometimes,"If yes, please provide the graduate course name",,Sometimes,1-2,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Neutral,Very Important,Very Important,Neutral,Very Important,,,"Entire undergraduate course,Entire graduate course",,
2024-11-21 14:29:15,2024-11-21 14:34:05,IP Address,129.49.252.177,100,290,True,2024-11-21 14:34:06,R_7rCR8QwqN3tSDWb,,,,,40.9076,-73.122,anonymous,EN,26-30,Male,,White,,"Hispanic, Latino, or Spanish origin",No,Adelphi,No,2018,Nassau County,,Hicksville,Yes,East Street Elementary,"6-10 ","1-2		",1-5,"1st   	 ",Children who are learning English as an additional language,,1-5,"Middle Eastern or North African ",No,,No,,"Often ","Often ","Often ",No,,"Rarely ",None,Neutral,Disagree,Agree,Disagree,Agree,Agree,None,Yes,Online Modules,,No,Agree,Agree,"Agree ",Very Important,Very Important,Neutral,Very Important,Neutral,Neutral,Very Important,,,"Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 14:35:04,2024-11-21 14:39:23,IP Address,129.49.252.177,100,259,True,2024-11-21 14:39:24,R_7tHjH6m14Z8uvUl,,,,,40.9076,-73.122,anonymous,EN,31-35,Male,,"Black or African American,American Indian or Alaska Native",,"American Indian or Alaskan Native,Black or African American ",No,St. Johns,No,2014,Suffolk County,,Miller Place,Yes,Miller Place Elementary,"6-10 ","3-5 		",16-20,"1st   	 ,2nd		","Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,11-15,Asian,No,,No,,"Often ","Often ",Sometimes,No,,Sometimes,None,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,"Workshops,Guest Speaker(s)",No,None,,No,Neutral,Neutral,"Agree ",Very Important,Very Important,Neutral,Neutral,Neutral,Neutral,Important,,,"Entire graduate course,Integrated into existing graduate courses",,
